language,user/repository,repository dir,DataClass,LargeClass,LongMethod,LongParameterList,TooMany,Commits,LOC,Created At,Project Lifespam
java,loopj/android-async-http,android-async-http,3,1,3,0,7,874,3446,2011-02-20,2655
java,android10/Android-CleanArchitecture,Android-CleanArchitecture,3,0,0,0,3,243,2777,2014-08-19,1379
java,nostra13/Android-Universal-Image-Loader,Android-Universal-Image-Loader,3,1,1,0,11,1025,5276,2011-11-27,2375
java,androidannotations/androidannotations,androidannotations,16,0,5,1,45,2774,37211,2012-01-06,2335
java,daimajia/AndroidSwipeLayout,AndroidSwipeLayout,0,1,1,0,1,175,2667,2014-08-25,1373
java,Blankj/AndroidUtilCode,AndroidUtilCode,6,8,5,2,28,863,22481,2016-07-30,668
java,CymChad/BaseRecyclerViewAdapterHelper,BaseRecyclerViewAdapterHelper,7,1,1,0,3,908,5672,2016-04-10,779
java,JakeWharton/butterknife,butterknife,0,2,8,1,7,836,10653,2013-03-05,1911
java,hdodenhof/CircleImageView,CircleImageView,0,0,0,0,0,122,356,2014-01-17,1593
java,alibaba/druid,druid,297,44,209,1,176,5812,295170,2011-11-03,2399
java,elastic/elasticsearch,elasticsearch,351,86,415,214,1266,39203,1055917,2010-02-08,3032
java,greenrobot/EventBus,EventBus,2,0,0,0,10,480,5333,2012-07-16,2143
java,google/ExoPlayer,ExoPlayer,48,19,35,58,149,4788,113451,2014-06-13,1446
java,alibaba/fastjson,fastjson,490,19,89,5,80,2705,149361,2011-11-03,2399
java,facebook/fresco,fresco,6,1,5,10,98,1657,428112,2015-03-02,1184
java,bumptech/glide,glide,1,3,7,9,117,2211,70355,2011-10-22,2411
java,greenrobot/greenDAO,greenDAO,30,0,0,5,33,844,19663,2011-10-22,2411
java,google/guava,guava,10,82,49,34,1167,4725,381338,2014-05-29,1461
java,Netflix/Hystrix,Hystrix,17,5,23,23,44,2106,50510,2012-11-19,2017
java,apache/incubator-dubbo,incubator-dubbo,89,11,40,4,146,2308,103349,2012-06-19,2170
java,kdn251/interviews,interviews,0,0,1,0,0,390,7300,2017-02-14,469
java,google/iosched,iosched,18,9,25,2,53,1548,57854,2014-04-01,1519
java,skylot/jadx,jadx,22,1,9,0,46,662,44942,2013-03-18,1898
java,iluwatar/java-design-patterns,java-design-patterns,31,0,1,0,5,2060,27426,2014-08-09,1389
java,square/leakcanary,leakcanary,2,0,1,0,5,454,4243,2015-04-29,1126
java,libgdx/libgdx,libgdx,70,37,141,266,462,13254,274702,2012-08-10,2118
java,airbnb/lottie-android,lottie-android,11,0,3,4,11,925,11214,2016-10-06,600
java,lgvalle/Material-Animations,Material-Animations,0,0,0,0,1,76,992,2015-03-08,1178
java,afollestad/material-dialogs,material-dialogs,0,2,4,0,8,1560,7584,2014-11-03,1303
java,PhilJay/MPAndroidChart,MPAndroidChart,5,3,25,2,15,1983,24910,2014-04-25,1495
java,netty/netty,netty,22,35,84,26,485,8797,250399,2010-11-09,2758
java,square/okhttp,okhttp,7,11,6,4,88,3159,56228,2012-07-23,2136
java,chrisbanes/PhotoView,PhotoView,0,0,1,0,0,427,1589,2012-07-17,2142
java,square/picasso,picasso,0,1,1,2,16,1198,9632,2013-05-14,1841
java,nickbutcher/plaid,plaid,12,1,9,6,16,453,16921,2015-10-30,942
java,square/retrofit,retrofit,1,3,2,0,23,1572,19419,2010-09-06,2822
java,ReactiveX/RxAndroid,RxAndroid,0,0,0,0,1,461,1181,2014-08-19,1379
java,ReactiveX/RxJava,RxJava,0,54,55,8,364,5366,271036,2013-01-08,1967
java,SeleniumHQ/selenium,selenium,8,2,8,2,110,22349,85807,2013-01-14,1961
java,signalapp/Signal-Android,Signal-Android,25,9,10,17,79,3543,80634,2011-12-15,2357
java,jfeinstein10/SlidingMenu,SlidingMenu,0,0,2,0,3,723,3212,2012-06-30,2159
