github.com/AlDanial/cloc v 1.76  T=0.18 s (583.2 files/s, 33957.3 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            81            716           1714           2777
XML                             14             46              4            274
Groovy                           7             51              9            270
Bourne Shell                     1             21             22            129
DOS Batch                        1             23              2             59
Markdown                         1             27              0             49
YAML                             1              3              0             17
ProGuard                         1              2             15              0
-------------------------------------------------------------------------------
SUM:                           107            889           1766           3575
-------------------------------------------------------------------------------
