github.com/AlDanial/cloc v 1.76  T=0.47 s (353.9 files/s, 24639.1 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Java                             91           1172           1967           5672
XML                              64            214             14           1728
Markdown                          2             47              0            428
Bourne Again Shell                1             19             20            121
Groovy                            5             17              2             94
DOS Batch                         1             24              2             64
YAML                              2              2              1             44
ProGuard                          2              4             31              8
--------------------------------------------------------------------------------
SUM:                            168           1499           2037           8159
--------------------------------------------------------------------------------
