github.com/AlDanial/cloc v 1.76  T=2.88 s (157.1 files/s, 29035.5 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           411          11006          17127          50510
Markdown                        16            708              0           2082
Clojure                          2            201             76            907
Groovy                          17             58             15            353
XML                              2             37             45            181
Bourne Shell                     1             21             22            129
JSP                              1              5              0             73
DOS Batch                        1             23              2             59
CSS                              1             16              8             35
YAML                             1              4              0             12
-------------------------------------------------------------------------------
SUM:                           453          12079          17295          54341
-------------------------------------------------------------------------------
