github.com/AlDanial/cloc v 1.76  T=1.05 s (299.2 files/s, 43124.6 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Java                            234           8706           9072          24910
XML                              66            169             44           1410
Markdown                          7            147              0            294
Groovy                            4             19             15            128
Bourne Again Shell                1             19             20            121
DOS Batch                         1             24              2             64
Maven                             1             12             17             60
--------------------------------------------------------------------------------
SUM:                            314           9096           9170          26987
--------------------------------------------------------------------------------
