github.com/AlDanial/cloc v 1.76  T=0.07 s (733.1 files/s, 43876.2 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            15            195             54            992
XML                             32            204             21            941
Markdown                         2            200              0            469
DOS Batch                        1             24              2             64
Groovy                           3              6              3             40
ProGuard                         1              2             15              0
-------------------------------------------------------------------------------
SUM:                            54            631             95           2506
-------------------------------------------------------------------------------
