github.com/AlDanial/cloc v 1.76  T=0.05 s (574.1 files/s, 46855.2 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            11            261            218           1181
Groovy                           5             43             26            193
Bourne Shell                     2             22             23            143
Markdown                         4             68              0            141
XML                              7             17             15             61
DOS Batch                        1             23              2             59
YAML                             1              7              4             23
-------------------------------------------------------------------------------
SUM:                            31            441            288           1801
-------------------------------------------------------------------------------
