github.com/AlDanial/cloc v 1.76  T=12.44 s (130.9 files/s, 33015.0 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                          1610          66189          69610         271036
Markdown                         6            732              0           1485
CSS                              1              0             31            443
Groovy                           3             72             14            320
XML                              2              0             29            236
Bourne Shell                     3             52             58            206
DOS Batch                        1             23              2             59
YAML                             2              8             10             30
-------------------------------------------------------------------------------
SUM:                          1628          67076          69754         273815
-------------------------------------------------------------------------------
