github.com/AlDanial/cloc v 1.76  T=7.12 s (156.7 files/s, 25250.9 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           687          18658           6873          80634
XML                            392           1970           9581          60446
Groovy                           1             42              0            419
Markdown                         5             97              0            203
Python                           2             37              5            142
Bourne Shell                     1             21             22            129
ProGuard                        13             17              6            110
Protocol Buffers                 2             18             10             62
DOS Batch                        1             23              2             59
Dockerfile                       1              2              0             23
C++                              1              9              0             22
make                             3              5              0             14
C/C++ Header                     1              2              7             12
IDL                              5              0              0             10
-------------------------------------------------------------------------------
SUM:                          1115          20901          16506         142285
-------------------------------------------------------------------------------
