github.com/AlDanial/cloc v 1.76  T=1.34 s (760.8 files/s, 57042.2 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           896          10657          21599          37211
XML                             86            625            899           1800
Maven                           22            253            275           1796
Bourne Shell                     3             80            139            416
DOS Batch                        3             86              2            287
Groovy                           3             22             22            100
Markdown                         4             33              0             58
Kotlin                           2             12              8             45
YAML                             1              8              0             43
-------------------------------------------------------------------------------
SUM:                          1020          11776          22944          41756
-------------------------------------------------------------------------------
