github.com/AlDanial/cloc v 1.76  T=0.32 s (540.9 files/s, 47559.5 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           125           1369            645          10653
Groovy                          12            114             29            547
Markdown                         3            151              0            322
HTML                             3             30              0            316
XML                             16             33             41            312
Kotlin                           5             35              6            207
Bourne Shell                     3             37             37            169
CSS                              4              9             19            135
DOS Batch                        1             23              2             59
YAML                             1             12              4             35
JavaScript                       2              0              7             29
-------------------------------------------------------------------------------
SUM:                           175           1813            790          12784
-------------------------------------------------------------------------------
