github.com/AlDanial/cloc v 1.76  T=8.90 s (489.8 files/s, 50823.9 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                          4004          80897          58420         295170
SQL                            296           1255           1299           9000
HTML                            19            117              0           2685
Maven                            6             72             40           1117
JavaScript                       5             61             16            660
XML                             13             37              2            585
Markdown                         3             47              0            304
JSON                             4              0              0            207
CSS                              2              8              8             50
XSD                              1              3              0             14
YAML                             1              0              0             10
Bourne Shell                     2              2              0              8
DOS Batch                        1              4             13              4
-------------------------------------------------------------------------------
SUM:                          4357          82503          59798         309814
-------------------------------------------------------------------------------
