github.com/AlDanial/cloc v 1.76  T=44.70 s (252.1 files/s, 39292.0 lines/s)
---------------------------------------------------------------------------------
Language                       files          blank        comment           code
---------------------------------------------------------------------------------
Java                            8538         184694         237163        1055917
AsciiDoc                        1374          25084           7930         108199
YAML                             654           8774           2471          63516
JSON                             354             11              0          25296
Groovy                           240           2697           5200          19167
Bourne Again Shell                34            531            466           2148
XSD                                6            112             40           1499
XML                               10             59            169           1033
ANTLR Grammar                      3            110             86            596
Python                             4             74            137            503
DOS Batch                         21            145             68            490
Markdown                           8            182              0            471
Perl                               2             72             46            324
Bourne Shell                       4             72             80            293
SQL                                6              0              0            114
Lisp                               1             10              0             78
HTML                               4              2             14             45
Freemarker Template                2              0              0              5
Mustache                           1              0              0              5
---------------------------------------------------------------------------------
SUM:                           11266         222629         253870        1279699
---------------------------------------------------------------------------------
