github.com/AlDanial/cloc v 1.76  T=3.77 s (693.0 files/s, 59513.3 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                          2558          42745          11583         149361
JSON                            37             14              0          15711
SQL                              1             21             12           3992
Maven                            1             47              3            475
XML                             11             35              1            321
JavaScript                       2              1              0             69
Markdown                         1             25              0             63
YAML                             1              0              0             10
Bourne Shell                     2              0              0              4
-------------------------------------------------------------------------------
SUM:                          2614          42888          11599         170006
-------------------------------------------------------------------------------
