github.com/AlDanial/cloc v 1.76  T=23.96 s (76.8 files/s, 40312.7 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
HTML                            682         329168          12087         428112
Java                            824          13575          21641          74641
XML                             127            362            155          49367
JavaScript                       12           2143           2298          12523
C++                              21            635           1093           3179
Markdown                         49           1007              0           2480
CSS                               6            463             82           2262
Sass                             16            277             16           1688
Groovy                           35            324             39           1579
C/C++ Header                     30            355            766            790
C                                 4            126            121            633
make                             12             62             32            333
YAML                              8             16              7            308
Kotlin                            4             35             47            219
Python                            1             69             47            192
Bourne Again Shell                2             25             22            142
DOS Batch                         1             24              2             64
Maven                             1              5              1             37
ProGuard                          4              6              9             28
IDL                               1              0              0              5
Bourne Shell                      1              1              0              4
--------------------------------------------------------------------------------
SUM:                           1841         348678          38465         578586
--------------------------------------------------------------------------------
