github.com/AlDanial/cloc v 1.76  T=0.53 s (537.6 files/s, 61193.3 lines/s)
---------------------------------------------------------------------------------
Language                       files          blank        comment           code
---------------------------------------------------------------------------------
Java                             244           4542           4922          19663
Freemarker Template                7            168            138           1027
CSS                                1             10             31            533
Groovy                            12            100             10            481
XML                               14             37              3            239
Bourne Shell                       1             21             22            129
Markdown                           2             34              0             83
DOS Batch                          1             23              2             59
YAML                               1              6              5             33
SQL                                1              0              0              7
---------------------------------------------------------------------------------
SUM:                             284           4941           5133          22254
---------------------------------------------------------------------------------
