github.com/AlDanial/cloc v 1.76  T=15.86 s (139.8 files/s, 36944.5 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                          2165          67793         133647         381338
Maven                            9             13             83           1616
CSS                              1              3             39            449
XML                             36            204            126            446
Markdown                         2             50              0            147
Bourne Shell                     4             21              5             49
YAML                             1             10              2             30
-------------------------------------------------------------------------------
SUM:                          2218          68094         133902         384075
-------------------------------------------------------------------------------
