github.com/AlDanial/cloc v 1.76  T=3.71 s (402.4 files/s, 47473.9 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                          1322          23477          37949         103349
Maven                           68            220           1021           4217
XSD                              2             66              0           2354
XML                             81            488           1248           1091
Bourne Shell                     9             25              0            235
Markdown                         5             43              0             96
YAML                             2              3              1             18
DOS Batch                        2              6              0             17
-------------------------------------------------------------------------------
SUM:                          1491          24328          40219         111377
-------------------------------------------------------------------------------
