github.com/AlDanial/cloc v 1.76  T=0.97 s (594.5 files/s, 57433.7 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           553           8035           1503          44942
Groovy                          14            126             25            704
Bourne Shell                     1             21             22            129
Markdown                         3             25              0             87
YAML                             3             13              0             64
DOS Batch                        1             23              2             59
JSON                             1              0              0             34
XML                              2              6              0             23
-------------------------------------------------------------------------------
SUM:                           578           8249           1552          46042
-------------------------------------------------------------------------------
