github.com/AlDanial/cloc v 1.76  T=11.86 s (111.6 files/s, 7423.3 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                          1048           8278          34853          27426
Maven                          118            706           2263           4783
Markdown                       111           1201              0           3951
XML                             22            209            511           1272
HTML                            10            316            203            661
PO File                          4            304            254            284
YAML                             2             15             24            102
JSON                             2              0              0             99
INI                              1             19              0             74
CSS                              3             14             62             60
Bourne Shell                     1              5             27             13
Cucumber                         1              3             16              7
JavaScript                       1              0             23              2
-------------------------------------------------------------------------------
SUM:                          1324          11070          38236          38734
-------------------------------------------------------------------------------
