github.com/AlDanial/cloc v 1.76  T=0.33 s (298.1 files/s, 23451.5 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            59            760           1091           4243
XML                             22             44            303            412
Groovy                           9             59              7            281
Markdown                         4             68              0            200
Bourne Shell                     2             24             27            147
YAML                             1              9              2             24
ProGuard                         1              1              1              7
-------------------------------------------------------------------------------
SUM:                            98            965           1431           5314
-------------------------------------------------------------------------------
