github.com/AlDanial/cloc v 1.76  T=5.92 s (105.0 files/s, 3951.7 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Java                            171           2123           1175          11214
XML                             149            315              8           4345
Kotlin                           50            407             35           2338
JSON                            235              1              0            414
Groovy                            5             30             16            272
Markdown                          5             62              0            270
Bourne Again Shell                1             19             20            121
DOS Batch                         1             24              2             64
YAML                              1              1              1             40
Bourne Shell                      3              7              2             37
JavaScript                        1              6              0             29
--------------------------------------------------------------------------------
SUM:                            622           2995           1259          19144
--------------------------------------------------------------------------------
