github.com/AlDanial/cloc v 1.76  T=20.02 s (235.8 files/s, 55974.1 lines/s)
---------------------------------------------------------------------------------------
Language                             files          blank        comment           code
---------------------------------------------------------------------------------------
JavaScript                            1451          82977         205657         421459
Java                                  1285          21594          33160          85807
HTML                                   617           5701           3093          50634
C#                                     532           8017          21351          39688
C++                                    111           3519           3592          23378
Ruby                                   231           4437           5967          17383
C/C++ Header                           138           2392           5179          17075
C                                        2           2584           2151          14092
Python                                 146           4085           5293          10886
XML                                     52           1415              0           5072
CSS                                     75            895           1106           4422
Markdown                                11            536              0           1916
MSBuild script                          14            176              0            745
IDL                                      8             83              0            734
DTD                                     10             81              0            545
YAML                                     3             46              5            320
JSON                                     7             10              0            275
XHTML                                    5              9             18            161
Maven                                    2              8              0            139
make                                     1             21              4            106
PowerShell                               2              9            296             90
Bourne Shell                             6             24              5             74
Windows Resource File                    1             20             27             70
INI                                      1              3              0             32
XSLT                                     1              5              0             32
ASP.NET                                  2              5              0             23
DOS Batch                                4              1              0              8
Bourne Again Shell                       1              6              1              7
Windows Module Definition                1              0              0              7
Skylark                                  2              3              2              3
---------------------------------------------------------------------------------------
SUM:                                  4722         138662         286907         695183
---------------------------------------------------------------------------------------
