github.com/AlDanial/cloc v 1.76  T=8.94 s (134.3 files/s, 22790.4 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
HTML                           621            270          21965         105107
Java                           490           7560          16266          43348
XML                             64            383            859           5502
Maven                            8             79            116           1126
CSS                             10             13             80            731
Markdown                         3             43              0            113
YAML                             2             18             24             77
JavaScript                       3              1             46             33
-------------------------------------------------------------------------------
SUM:                          1201           8367          39356         156037
-------------------------------------------------------------------------------
