github.com/AlDanial/cloc v 1.76  T=0.14 s (218.1 files/s, 16965.3 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                          11            224            289            703
XML                             10             73             86            187
Markdown                         2             67              0            163
Bourne Shell                     1             21             22            129
Java                             1             26             13            109
Groovy                           4             26             44             68
DOS Batch                        1             23              2             59
-------------------------------------------------------------------------------
SUM:                            30            460            456           1418
-------------------------------------------------------------------------------
