github.com/AlDanial/cloc v 1.76  T=0.32 s (457.6 files/s, 20202.9 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                          133            973           1757           3167
Bourne Again Shell                1             19             20            121
XML                               8             19            121             73
DOS Batch                         1             24              2             64
Markdown                          1             18              0             32
Groovy                            1              2             15              2
ProGuard                          1              2             15              0
--------------------------------------------------------------------------------
SUM:                            146           1057           1930           3459
--------------------------------------------------------------------------------
