github.com/AlDanial/cloc v 1.76  T=0.24 s (843.4 files/s, 44793.0 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                          162           1532           1790           5703
Java                              9            132             43            530
XML                              18             35              2            256
Markdown                          5            105              0            229
Groovy                            6             33              1            151
Bourne Again Shell                1             19             20            121
DOS Batch                         1             24              2             64
YAML                              1              3              0             14
ProGuard                          1              4             21              0
--------------------------------------------------------------------------------
SUM:                            204           1887           1879           7068
--------------------------------------------------------------------------------
