github.com/AlDanial/cloc v 1.76  T=0.23 s (456.0 files/s, 44323.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                          70           1339            122           5581
Java                             3            150            557            787
Markdown                         2            181              0            548
Groovy                          13            106              5            469
XML                             11             31              7            151
Bourne Shell                     2             25             22            140
DOS Batch                        1             23              2             59
YAML                             1              6              0             23
JSON                             1              0              0              3
ProGuard                         3              9             53              1
-------------------------------------------------------------------------------
SUM:                           107           1870            768           7762
-------------------------------------------------------------------------------
