github.com/AlDanial/cloc v 1.76  T=0.12 s (519.9 files/s, 18624.9 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                           36            226            111            894
XML                              16             58              6            345
Groovy                            4             25             12            126
Bourne Again Shell                1             19             20            121
Markdown                          1             43              0             65
DOS Batch                         1             24              2             64
Java                              2              8             11             24
ProGuard                          1              2             15              0
--------------------------------------------------------------------------------
SUM:                             62            405            177           1639
--------------------------------------------------------------------------------
