github.com/AlDanial/cloc v 1.76  T=0.11 s (312.8 files/s, 12133.8 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                           10             99             30            425
XML                              15             21              6            168
Bourne Again Shell                1             19             20            121
Markdown                          1             34              0            103
Groovy                            4             11              3             81
DOS Batch                         1             24              2             64
Java                              1             13              0             58
ProGuard                          1              2             15              0
--------------------------------------------------------------------------------
SUM:                             34            223             76           1020
--------------------------------------------------------------------------------
