github.com/AlDanial/cloc v 1.76  T=0.63 s (247.0 files/s, 13853.9 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Markdown                         25           1561              0           4474
Kotlin                           57            156            174            614
Bourne Again Shell                3             58             61            374
Groovy                           29             94              3            348
Java                             25             56             76            235
DOS Batch                         3             71              6            187
XML                               7              8              3             82
JSON                              4              0              0             65
C#                                1              2              0             11
SQL                               1              0              0              7
ProGuard                          1              4             21              0
--------------------------------------------------------------------------------
SUM:                            156           2010            344           6397
--------------------------------------------------------------------------------
