github.com/AlDanial/cloc v 1.76  T=0.17 s (497.4 files/s, 36932.6 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                           41            706             15           2723
XML                              19            107              2            843
Java                             11            149             23            720
Markdown                          2             94              0            257
Groovy                            6             44              8            219
Bourne Again Shell                1             19             20            121
DOS Batch                         1             24              2             64
ProGuard                          3             11             58              8
--------------------------------------------------------------------------------
SUM:                             84           1154            128           4955
--------------------------------------------------------------------------------
