github.com/AlDanial/cloc v 1.76  T=0.13 s (247.2 files/s, 24041.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                          24            470            264           1850
Markdown                         3             73              0            215
Bourne Shell                     2             22             23            143
DOS Batch                        1             23              2             59
Groovy                           2              7              1             33
YAML                             1              5              4             15
-------------------------------------------------------------------------------
SUM:                            33            600            294           2315
-------------------------------------------------------------------------------
