github.com/AlDanial/cloc v 1.76  T=0.91 s (178.5 files/s, 5740.8 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                          80            438             41           2488
Groovy                          26            173             21            872
XML                             45             16              5            475
Bourne Shell                     1             21             22            129
Markdown                         4             67              0            116
DOS Batch                        1             23              2             59
YAML                             1             11              1             50
JSON                             1              0              0             38
ProGuard                         2             20             53             35
HTML                             1              5              0             30
Java                             1              3              0             27
-------------------------------------------------------------------------------
SUM:                           163            777            145           4319
-------------------------------------------------------------------------------
