github.com/AlDanial/cloc v 1.76  T=0.18 s (256.4 files/s, 18322.1 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                           15            269             78           1381
XML                              19             65              6            470
Java                              5            100             13            397
Markdown                          1             62              0            161
Bourne Again Shell                1             19             20            121
Groovy                            4             10              0             79
DOS Batch                         1             24              2             64
ProGuard                          1              2             15              0
--------------------------------------------------------------------------------
SUM:                             47            551            134           2673
--------------------------------------------------------------------------------
