github.com/AlDanial/cloc v 1.76  T=3.17 s (608.0 files/s, 64822.2 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                         824          11390          13063          69499
XML                            552           1871           7237          44911
Java                           520           8380          11484          34967
HTML                             1            123              0            571
JSON                             8              0              0            460
Groovy                           5             73             67            455
Bourne Shell                     8             33             31            181
Markdown                         3             55              0            100
YAML                             1             12              5             66
DOS Batch                        1             23              2             59
ProGuard                         2             22             40             57
-------------------------------------------------------------------------------
SUM:                          1925          21982          31929         151326
-------------------------------------------------------------------------------
