github.com/AlDanial/cloc v 1.76  T=1.74 s (236.5 files/s, 17276.8 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                          137           1118           2650           6174
Java                            102           1246           2648           4810
JSON                              9              0              0           3171
XML                             108            363           1571           3168
Groovy                           25            187            379            964
Markdown                         13            189              0            503
Bourne Shell                      4             29             26            190
DOS Batch                         2             47              4            123
Bourne Again Shell                1             19             20            121
Rust                              2              7              4             77
YAML                              3             14             52             37
ProGuard                          5             17             96              0
--------------------------------------------------------------------------------
SUM:                            411           3236           7450          19338
--------------------------------------------------------------------------------
