github.com/AlDanial/cloc v 1.76  T=0.43 s (584.3 files/s, 35527.5 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                           91            950           1904           4077
XML                             147            275           2216           3909
JSON                              1              0              0           1125
Groovy                            7             61            108            234
Bourne Again Shell                1             19             20            121
ProGuard                          2             19             28            103
DOS Batch                         1             24              2             64
Markdown                          1              8              0             27
YAML                              1              5              4             20
--------------------------------------------------------------------------------
SUM:                            252           1361           4282           9680
--------------------------------------------------------------------------------
