github.com/AlDanial/cloc v 1.76  T=0.95 s (783.8 files/s, 58167.1 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                         448           6451           3165          22829
Markdown                        99           2517              0           7007
CSS                             81           1006            587           4772
JavaScript                       9            146            149           1830
Sass                            40            319            613           1529
Groovy                          30            116             50            696
YAML                             4            129              0            346
HTML                            15             15             13            254
Bourne Shell                     7             34             22            207
Java                             7             40              0            127
DOS Batch                        1             23              2             59
XML                              1              0              0             10
-------------------------------------------------------------------------------
SUM:                           742          10796           4601          39666
-------------------------------------------------------------------------------
