github.com/AlDanial/cloc v 1.76  T=1.00 s (390.2 files/s, 52210.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                         356          12546           1047          35825
Markdown                         3            142              0           1068
TypeScript                      12             76              1            415
CSS                              2             67              4            379
LESS                             8             31              0            191
Bourne Shell                     2             26             23            148
HTML                             2              6              2            140
JavaScript                       2              6              3            102
JSON                             2              0              0             69
DOS Batch                        1             23              2             59
YAML                             1              0              0             27
XML                              1              2              0             16
-------------------------------------------------------------------------------
SUM:                           392          12925           1082          38439
-------------------------------------------------------------------------------
