github.com/AlDanial/cloc v 1.76  T=4.23 s (347.1 files/s, 40712.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                        1170          18189          20033         106854
Java                            84           1514           1751           6856
Groovy                          53            642            349           3170
Markdown                        55           1375              0           3168
TeX                              6            573            106           2310
CSS                             10            288             45           1223
XML                             24             56             39            713
HTML                             7             11              6            539
JavaScript                      17             53              5            474
Bourne Shell                    13             86             79            352
JSON                             3              0              0            200
INI                              9             83              0            191
make                             1             31              6            158
DOS Batch                        4             38              7            114
Cucumber                         3             15              2             68
Python                           1             67            157             34
C++                              6              0              0             18
PowerShell                       1              0              0              4
-------------------------------------------------------------------------------
SUM:                          1467          23021          22585         126446
-------------------------------------------------------------------------------
