github.com/AlDanial/cloc v 1.76  T=0.30 s (203.7 files/s, 19958.8 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Groovy                          16            265            131           1308
Kotlin                          12            310            384           1177
Java                            11            188            444            725
Markdown                         4             92              0            269
JavaScript                       2             33             25            189
Bourne Shell                     3             36             28            185
XML                              9              9             19             67
DOS Batch                        1             23              2             59
CSS                              1              5              0             29
YAML                             1              7              2             27
HTML                             1              0              0             19
ProGuard                         1              2             15              0
-------------------------------------------------------------------------------
SUM:                            62            970           1050           4054
-------------------------------------------------------------------------------
