github.com/AlDanial/cloc v 1.76  T=0.61 s (284.6 files/s, 40493.0 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                           37           1098           1361           8206
Java                             13            816           2351           5151
XML                             108            571           1402           2632
Markdown                          3             83              0            366
Groovy                            8             45            126            204
Bourne Again Shell                1             19             20            121
DOS Batch                         1             24              2             64
YAML                              1              0              0             43
ProGuard                          2              5             45              0
--------------------------------------------------------------------------------
SUM:                            174           2661           5307          16787
--------------------------------------------------------------------------------
