github.com/AlDanial/cloc v 1.76  T=1.34 s (847.8 files/s, 64471.1 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                         757          12139           7230          60348
Rust                           240            696            319           2820
XML                             35            191             51           1126
Markdown                         8            240              0            611
HTML                            81              5              0            350
Bourne Shell                     3             27             26            152
TOML                            11             39              6            144
YAML                             2             13              2             60
DOS Batch                        1             23              2             59
Java                             1              2              0             10
Groovy                           1              0              0              2
-------------------------------------------------------------------------------
SUM:                          1140          13375           7636          65682
-------------------------------------------------------------------------------
