github.com/AlDanial/cloc v 1.76  T=0.74 s (541.8 files/s, 36832.3 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                          326           4994           3944          15207
Markdown                         45            593              0           1269
Bourne Again Shell                2             39             41            253
DOS Batch                         3             70              6            182
Bourne Shell                      2             25             23            138
XML                               9             42             65            137
Java                              7             17              7             59
Groovy                            4             20             40             52
YAML                              2              4              1             22
HTML                              1              1              0             12
--------------------------------------------------------------------------------
SUM:                            401           5805           4127          17331
--------------------------------------------------------------------------------
