github.com/AlDanial/cloc v 1.76  T=0.89 s (286.6 files/s, 7460.2 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                           84            423            256           1545
Groovy                           49            243             19           1081
XML                              72            113             64            819
Maven                             6             36              7            627
Bourne Again Shell                3             58             61            365
Bourne Shell                      2             42             44            258
Java                             10             32             18            125
DOS Batch                         2             47              4            123
Markdown                         19             41              0             68
JavaScript                        2              4              0             50
JSON                              3              0              0             21
HTML                              1              0              0             10
ProGuard                          3              8             51              0
--------------------------------------------------------------------------------
SUM:                            256           1047            524           5092
--------------------------------------------------------------------------------
