github.com/AlDanial/cloc v 1.76  T=0.21 s (536.0 files/s, 13898.7 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                           98            449            209           1696
Java                             10             37              0            152
Bourne Again Shell                1             19             20            121
DOS Batch                         1             24              2             64
Markdown                          1             26              0             57
Groovy                            1              6              0             22
--------------------------------------------------------------------------------
SUM:                            112            561            231           2112
--------------------------------------------------------------------------------
