github.com/AlDanial/cloc v 1.76  T=7.58 s (662.9 files/s, 40324.7 lines/s)
---------------------------------------------------------------------------------------
Language                             files          blank        comment           code
---------------------------------------------------------------------------------------
Kotlin                                4587          43738          35313         178650
C++                                     43           2350           3634          14425
Groovy                                  71           1544            790           7102
C/C++ Header                            38            673            976           2632
Markdown                                35            876              0           2445
Windows Module Definition              161            376              0           1641
Objective C++                            4            473            126           1608
C                                        4             58            101           1203
Swift                                    5            175            105            738
Bourne Shell                            25            203             79            671
JavaScript                               3             81             52            492
XML                                     15             15              8            374
Protocol Buffers                         2             81             35            371
DOS Batch                               13             90             71            288
JSON                                     2              0              0            141
Python                                   3             45             55            138
diff                                     1             11             75            107
Bourne Again Shell                       5             23             67             85
Objective C                              1             15              0             55
Windows Resource File                    1              0              0             23
HTML                                     2              6              0             22
CMake                                    1              7              0             14
Puppet                                   1              5             32             10
Java                                     1              1             20              1
---------------------------------------------------------------------------------------
SUM:                                  5024          50846          41539         213236
---------------------------------------------------------------------------------------
