github.com/AlDanial/cloc v 1.76  T=1015.85 s (41.9 files/s, 1948.8 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                        36387         201421         152977         815485
Java                           4431         106766          64557         554930
XML                             601           1352            190          22251
JavaScript                      217           2920           2087          13379
IDL                              17           1031              0           7299
Markdown                         45           2007              0           7058
Groovy                          268           1262            226           6873
Maven                            83            486             33           5366
HTML                            400             41             48           2677
JSON                             17              9              0           1280
Protocol Buffers                  9            390            675           1011
AsciiDoc                          1            197              4            632
Ant                              44             65              0            516
ANTLR Grammar                     1            115             33            447
Bourne Shell                      4             67             66            398
ProGuard                          5             56             69            184
CSS                               1             56             18            162
DOS Batch                         7             69             71            158
Bourne Again Shell                5             27             63             70
Forth                            10              6              1             50
--------------------------------------------------------------------------------
SUM:                          42553         318343         221118        1440226
--------------------------------------------------------------------------------
