github.com/AlDanial/cloc v 1.76  T=0.95 s (228.4 files/s, 12461.7 lines/s)
---------------------------------------------------------------------------------------
Language                             files          blank        comment           code
---------------------------------------------------------------------------------------
Kotlin                                  66            787             42           3879
C/C++ Header                            68            767           2083           1304
JSON                                    16              0              0            397
Groovy                                  12             76              3            362
XML                                     17             14              3            339
CSS                                      1             56              4            269
CMake                                    4             58              7            260
Objective C                             22            119            182            206
Bourne Shell                             1             21             22            129
DOS Batch                                2             47              4            123
Bourne Again Shell                       1             19             20            121
JavaScript                               4              3              0             63
Markdown                                 1             23              0             46
HTML                                     1              0              0             12
Windows Module Definition                1              0              0              5
ProGuard                                 1              3             18              0
---------------------------------------------------------------------------------------
SUM:                                   218           1993           2388           7515
---------------------------------------------------------------------------------------
