github.com/AlDanial/cloc v 1.76  T=0.12 s (440.7 files/s, 111461.3 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                          45           1359           1196          10398
Maven                            1             15              1            207
Markdown                         3             57              0            182
Java                             1             26             19            116
XML                              2              0              0             25
YAML                             1              8              0             22
Bourne Shell                     1              3              5             18
-------------------------------------------------------------------------------
SUM:                            54           1468           1221          10968
-------------------------------------------------------------------------------
