github.com/AlDanial/cloc v 1.76  T=1.47 s (345.0 files/s, 39196.3 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                          405           5698          11912          31567
Markdown                         33           1127              0           4552
Groovy                           29            145             49            744
XML                              17             32              4            410
Sass                              5             84             38            308
Bourne Shell                      2             34             35            159
DOS Batch                         2             47              4            123
Bourne Again Shell                1             19             20            121
JavaScript                        3              8             47             60
JSON                              2              0              0             48
HTML                              4              1              1             39
CSS                               1              3             15             13
YAML                              1              2              3             10
ProGuard                          1              0              0              3
--------------------------------------------------------------------------------
SUM:                            506           7200          12128          38157
--------------------------------------------------------------------------------
