github.com/AlDanial/cloc v 1.76  T=0.24 s (42.4 files/s, 3658.7 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                           2             36              1            251
Bourne Shell                     2             24             27            147
Groovy                           2             29             33            104
DOS Batch                        1             23              2             59
Markdown                         1             23              0             41
YAML                             1             13              5             39
XML                              1              0              0              6
-------------------------------------------------------------------------------
SUM:                            10            148             68            647
-------------------------------------------------------------------------------
