github.com/AlDanial/cloc v 1.76  T=1.73 s (356.0 files/s, 31198.2 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                         541           7803           4203          38172
Java                             2            172            718            988
XML                             28              3              0            645
Groovy                          38             89              3            610
Markdown                         2             36              0            179
Bourne Shell                     1             21             22            129
DOS Batch                        1             23              2             59
Lua                              1              2              0             13
HTML                             1              0              0              1
-------------------------------------------------------------------------------
SUM:                           615           8149           4948          40796
-------------------------------------------------------------------------------
