github.com/AlDanial/cloc v 1.76  T=0.10 s (352.1 files/s, 47479.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                          19            661            118           2190
Java                            11            287            267           1001
Markdown                         1             19              0             45
Groovy                           1             17              1             43
XML                              2              1             20             21
YAML                             1              7              7             14
-------------------------------------------------------------------------------
SUM:                            35            992            413           3314
-------------------------------------------------------------------------------
