github.com/AlDanial/cloc v 1.76  T=2.33 s (145.7 files/s, 22206.3 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                          109           1746           2516          12153
JSON                              7              0              0          11002
Python                           28           1390           1829           4906
Java                             14            543           1992           3130
XML                             136            818           1607           2789
HTML                              7            126             27           1146
Sass                              9            176             10           1132
JavaScript                        8            190            146            881
Groovy                           13            117            186            550
CSS                               2             31             23            143
Bourne Again Shell                1             20             21            123
DOS Batch                         1             24              2             64
YAML                              3             18             25             44
Markdown                          1              8              0             12
--------------------------------------------------------------------------------
SUM:                            339           5207           8384          38075
--------------------------------------------------------------------------------
