github.com/AlDanial/cloc v 1.76  T=0.42 s (264.0 files/s, 49356.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                            45           1203           1050           6623
Kotlin                          47           1255           2870           5733
Markdown                         5            202              0            708
Groovy                           7             59             32            316
Bourne Shell                     3             36             36            167
XML                              1             24             47             78
DOS Batch                        1             23              2             59
YAML                             1             10              0             29
-------------------------------------------------------------------------------
SUM:                           110           2812           4037          13713
-------------------------------------------------------------------------------
