github.com/AlDanial/cloc v 1.76  T=1.03 s (281.3 files/s, 24205.2 lines/s)
---------------------------------------------------------------------------------
Language                       files          blank        comment           code
---------------------------------------------------------------------------------
XML                               78            774            157           6717
Kotlin                            88            960           1837           5302
Java                              81            748           2087           4051
Markdown                          30            186              0           1276
Maven                              5             10              4            475
Groovy                             4             24              1            137
Bourne Shell                       1             21             22            129
DOS Batch                          1             23              2             59
JSON                               1              2              0             17
Freemarker Template                1              0              0             12
CSS                                1              0              0              3
---------------------------------------------------------------------------------
SUM:                             291           2748           4110          18178
---------------------------------------------------------------------------------
