github.com/AlDanial/cloc v 1.76  T=0.35 s (614.2 files/s, 44245.5 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                           78            697           1758           5354
XML                              93            172            110           2644
Markdown                          9            162              0            585
make                              3             97             80            340
Groovy                            6             49             16            319
YAML                              2             14              1            314
JSON                              3              0              0            256
C/C++ Header                      4            282            489            249
HTML                              1             56              1            249
DOS Batch                         3             50              3            176
C                                 1             24             33            141
C++                               1             27              5            141
Bourne Shell                      2             22             22            135
Python                            2             31             13             97
Bourne Again Shell                2             26              0             77
Java                              3             16             49             63
Perl                              1              0              1             11
ProGuard                          1              4             17              9
--------------------------------------------------------------------------------
SUM:                            215           1729           2598          11160
--------------------------------------------------------------------------------
