github.com/AlDanial/cloc v 1.76  T=0.19 s (689.9 files/s, 33156.0 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                          93            872            131           3819
Groovy                          24            109             13            471
AsciiDoc                         8            138              8            415
Bourne Shell                     2             23             23            133
CSS                              1             19              3             77
DOS Batch                        1             23              2             59
XML                              2             11              2             45
YAML                             1              5              1             16
Markdown                         1              9              0             11
JavaScript                       1              0              1              1
-------------------------------------------------------------------------------
SUM:                           134           1209            184           5047
-------------------------------------------------------------------------------
