github.com/AlDanial/cloc v 1.76  T=0.44 s (511.3 files/s, 39431.0 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                          161           1716           1466          11024
Groovy                           25            190             43            813
Markdown                          4            212              0            621
Java                             17            105             10            473
XML                              11             31              2            214
Bourne Again Shell                1             19             20            125
DOS Batch                         1             24              2             64
YAML                              1             12              4             38
Bourne Shell                      2              7              6             28
HTML                              1              0              0              5
--------------------------------------------------------------------------------
SUM:                            224           2316           1553          13405
--------------------------------------------------------------------------------
