github.com/AlDanial/cloc v 1.76  T=0.37 s (416.2 files/s, 82722.6 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                         140           4455           2420          21082
Markdown                         2            292              0           1170
JSON                             1              0              0            344
Maven                            1             17              0            286
CSS                              6             37              0            159
Java                             2             24              6             82
YAML                             1              7              7             19
-------------------------------------------------------------------------------
SUM:                           153           4832           2433          23142
-------------------------------------------------------------------------------
