github.com/AlDanial/cloc v 1.76  T=0.22 s (121.3 files/s, 6046.3 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
XML                              15             21              2            553
Groovy                            6             20              5            158
Kotlin                            2             23             33            131
Bourne Again Shell                1             19             20            121
Markdown                          1             41              0             88
DOS Batch                         1             24              2             64
ProGuard                          1              3             18              0
--------------------------------------------------------------------------------
SUM:                             27            151             80           1115
--------------------------------------------------------------------------------
